序号;片名;评分;导演;主演;一句话点评
203;终结者2：审判日;8.7;詹姆斯·卡梅隆;阿诺·施瓦辛格;少见的超越首部的续集，动作片中的经典。
204;初恋这件小事;8.4;普特鹏·普罗萨卡·那·萨克那卡林;;黑小鸭速效美白记。
205;海洋;9.1;雅克·贝汉;;大海啊，不全是水。
206;魂断蓝桥;8.8;茂文·勒鲁瓦;费雯·丽;中国式内在的美国电影。
207;可可西里;8.8;陆川;多布杰;坚硬的信仰。
208;燃情岁月;8.8;爱德华·兹威克;布拉德·皮特;传奇，不是每个人都可以拥有。
209;2001太空漫游;8.8;斯坦利·库布里克;凯尔·杜拉;现代科幻电影的开山之作，最伟大导演的最伟大影片。
210;穿越时空的少女;8.6;细田守;仲里依纱;爱上未来的你。 
211;城市之光;9.3;Charles;查理·卓别林;永远的小人物，伟大的卓别林。
212;牯岭街少年杀人事件;8.8;杨德昌;张震;弱者送给弱者的一刀。
213;新龙门客栈;8.6;李惠民;张曼玉;嬉笑怒骂，调风动月。
214;无耻混蛋;8.6;Quentin;布拉德·皮特;昆汀同学越来越变态了，比北野武还杜琪峰。
215;完美陌生人;8.5;保罗·格诺维瑟;马可·贾利尼;来啊，互相伤害啊！
216;源代码;8.4;邓肯·琼斯;杰克·吉伦哈尔;邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
217;色，戒;8.5;李安;梁朝伟;假戏真情，爱欲深海
218;阿飞正传;8.5;王家卫;张国荣;王家卫是一种风格，张国荣是一个代表。
219;青蛇;8.5;徐克;张曼玉;人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
220;香水;8.5;汤姆·提克威;本·卫肖;一个单凭体香达到高潮的男人。
221;遗愿清单;8.6;罗伯·莱纳;杰克·尼科尔森;用剩余不多的时间，去燃烧整个生命。
222;谍影重重2;8.7;保罗·格林格拉斯;马特·达蒙;谁说王家卫镜头很晃？
223;血钻;8.7;爱德华·兹威克;莱昂纳多·迪卡普里奥;每个美丽事物背后都是滴血的现实。
224;地球上的星星;8.9;阿米尔·汗;达席尔·萨法瑞;天使保护事件始末。
225;大佛普拉斯;8.7;黄信尧;庄益增;人们可以登上月球，却永远无法探索人们内心的宇宙。
226;战争之王;8.6;安德鲁·尼科尔;尼古拉斯·凯奇;做一颗让别人需要你的棋子。
227;谍影重重;8.6;道格·里曼;马特·达蒙;哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
228;疯狂的麦克斯4：狂暴之路;8.6;乔治·米勒;汤姆·哈迪;“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
229;步履不停;8.8;是枝裕和;阿部宽;日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
